,Ips_typographus,Ips_pini,Pityogenes_chalcographus,Pityogenes_hopkinsi,Eccoptopterus_spinosus,Webbia_pabo,Cryphalus_mangiferae,Hylocurus_langstoni,Hylesinus_varius,Hylesinus_crenatus,Hylesinus_aculeatus,Hylurgus_ligniperda,Hylurgus_micklitzi,Hylurgops_palliatus,Hylastes_porculus,Hylastes_cunicularius,Hylastes_ater,Hylastes_gracilis,Carphoborus_bifurcus,Crypturgus_hispidulus,Monarthrum_fasciatum,Monarthrum_mali,Gnathotrichus_materiarius,Pityophthorus_juglandis,Pityophthorus_pityographus,Ernoporus_tiliae,Eidophelus_fagi,Platypus_cylindrus,Platypus_koryoensis,Euplatypus_compositus,Myoplatypus_flavicornis,Pagiocerus_frontalis,Pycnarthrum_hispidum,Trypodendron_domesticum,Xyloterinus_politus,Procryphalus_mucronatus,Hypothenemus_hampei,Hypothenemus_seriatus,Hypothenemus_obscurus,Hypothenemus_birmanus,Hypothenemus_eruditus,Scolytus_schevyrewi,Scolytus_ratzeburgi,Scolytus_rugulosus,Scolytus_multistriatus,Scolytus_intricatus,Scolytus_carpini,Scolytus_dimidiatus,Polygraphus_poligraphus,Dendroterus_defectus,Tomicus_brevipilosus,Xylocleptes_bispinus,Taphrorychus_bicolor,Beaverium_insulindicus,Anisandrus_dispar,Anisandrus_sayi,Anisandrus_obesus,Anisandrus_maiche,Xylosandrus_crassiusculus,Xylosandrus_morigerus,Xylosandrus_amputatus,Diuncus_justus,Diuncus_papatrae,Diuncus_haberkorni,Euwallacea_similis,Euwallacea_fornicatus,Euwallacea_perbrevis,Euwallacea_kuroshio,Euwallacea_funereus,Euwallacea_wallacei,Euwallacea_destruens,Xyleborus_affinis,Xyleborus_ferrugineus,Xyleborus_perforans,Xyleborus_xylographus,Xyleborus_volvulus,Xyleborus_celsus,Xyleborus_monographus,Xyleborus_glabratus,Xyleborus_impressus,Xyleborus_bispinatus,Xyleborus_spinulosus,Coptoborus_coartatus,Coptoborus_pseudotenuis,Wallacellus_piceus,Xyleborinus_andrewesi,Xyleborinus_attenuatus,Xyleborinus_gracilis,Xyleborinus_artestriatus,Xyleborinus_exiguus,Truncaudum_agnatum,Truncaudum_impexum,Dendroctonus_rufipennis,Dendroctonus_frontalis,Dendroctonus_pseudotsugae,Leptoxyleborus_sordicauda,Hadrodemius_globus,Microperus_alpha,Microperus_popondettae,Coccotrypes_dactyliperda,Cnestus_mutilatus,Cnestus_bimaculatus,Pseudowebbia_trepanicauda,Ambrosiophilus_atratus,Ambrosiodmus_minor,Ambrosiodmus_lewisi,Ambrosiodmus_obliquus,Ambrosiodmus_tachygraphus,Ambrosiodmus_rubricollis,Ambrosiodmus_asperatus,Cyclorhipidion_pelliculosum,Cyclorhipidion_bodoanum,Dryocoetes_autographus,Dryocoetes_confusus,Debus_pumilus,Debus_emarginatus,Orthotomicus_erosus,Premnobius_cavipennis,Ips_sexdentatus,Ips_acuminatus,Ips_duplicatus,Ips_grandicollis
Ips_typographus,0.0,0.54033,0.65791,0.6551100000000001,0.7818499999999999,0.9243699999999999,1.11918,0.98773,0.9467099999999999,0.9591699999999999,1.01589,0.76352,1.10514,1.17532,1.2188899999999998,1.25253,1.12031,1.2621,1.03734,0.92638,1.12712,1.12262,1.28985,1.02774,0.9971300000000001,0.94519,1.16786,1.5879599999999998,1.5879599999999998,1.5285,1.51385,1.34345,1.26348,1.21831,1.67895,1.09518,0.9812099999999999,1.00966,1.04216,1.18675,1.1285,1.38747,1.37058,1.14092,1.1722,1.8381699999999999,1.2256999999999998,1.2958399999999999,0.9262999999999999,1.17361,1.17361,0.86696,0.7481199999999999,0.7481199999999999,0.70166,0.74274,0.8072600000000001,0.8646099999999999,0.95794,0.77922,0.83954,0.91727,0.8009900000000001,0.9171,0.79758,0.8998899999999999,1.06584,0.9296499999999999,0.9048799999999999,0.8634299999999999,0.89472,0.9542899999999999,0.9651399999999999,1.01884,0.9019999999999999,0.93692,1.0478,1.0160099999999999,1.0993499999999998,0.96777,1.3766999999999998,0.8896899999999999,0.8180700000000001,0.87375,0.9442599999999999,0.8549199999999999,0.89324,0.95519,0.92673,0.9512,0.95574,0.92425,8.18651,8.18651,8.18651,0.9428000000000001,1.00855,1.01809,0.9317599999999999,0.82104,0.87374,1.0342799999999999,0.8895500000000001,0.91178,0.8730899999999999,0.8464499999999999,0.95242,0.84188,0.90608,0.88225,0.77088,0.7987899999999999,0.8859299999999999,0.88202,0.9612799999999999,0.86053,0.65784,0.6594500000000001,0.9005099999999999,0.84484,0.45508,0.45508
Ips_pini,0.54033,0.0,0.9212800000000001,0.91848,1.04522,1.18774,1.38255,1.2510999999999999,1.21008,1.22254,1.27926,1.02689,1.3685100000000001,1.43869,1.48226,1.5159,1.38368,1.52547,1.30071,1.18975,1.39049,1.38599,1.55322,1.29111,1.2605000000000002,1.20856,1.43123,1.85133,1.85133,1.79187,1.77722,1.6068200000000001,1.52685,1.48168,1.94232,1.3585500000000001,1.24458,1.27303,1.30553,1.45012,1.39187,1.65084,1.63395,1.40429,1.43557,2.10154,1.48907,1.55921,1.18967,1.4369800000000001,1.4369800000000001,1.13033,1.01149,1.01149,0.96503,1.00611,1.07063,1.12798,1.22131,1.04259,1.10291,1.1806400000000001,1.06436,1.1804700000000001,1.06095,1.16326,1.32921,1.19302,1.16825,1.1268,1.15809,1.21766,1.22851,1.2822099999999998,1.16537,1.20029,1.31117,1.27938,1.36272,1.23114,1.64007,1.15306,1.08144,1.13712,1.20763,1.11829,1.1566100000000001,1.21856,1.1901,1.21457,1.21911,1.18762,8.44988,8.44988,8.44988,1.20617,1.27192,1.28146,1.19513,1.0844099999999999,1.13711,1.29765,1.15292,1.17515,1.13646,1.10982,1.21579,1.10525,1.16945,1.14562,1.03425,1.06216,1.1493,1.14539,1.22465,1.1239000000000001,0.9212100000000001,0.92282,1.16388,1.10821,0.71845,0.71845
Pityogenes_chalcographus,0.65791,0.9212800000000001,0.0,0.08644,0.8243400000000001,0.96686,1.16167,1.03022,0.9892000000000001,1.00166,1.05838,0.80601,1.14763,1.21781,1.26138,1.29502,1.1628,1.3045900000000001,1.07983,0.9688700000000001,1.16961,1.16511,1.33234,1.07023,1.03962,0.9876800000000001,1.21035,1.63045,1.63045,1.57099,1.55634,1.3859400000000002,1.30597,1.2608,1.7214399999999999,1.13767,1.0237,1.0521500000000001,1.0846500000000001,1.22924,1.17099,1.42996,1.41307,1.18341,1.21469,1.88066,1.26819,1.33833,0.96879,1.2161,1.2161,0.9094500000000001,0.79061,0.79061,0.7441500000000001,0.7852300000000001,0.84975,0.9071,1.00043,0.8217099999999999,0.8820300000000001,0.95976,0.84348,0.9595899999999999,0.8400700000000001,0.94238,1.10833,0.97214,0.94737,0.9059200000000001,0.9372100000000001,0.99678,1.00763,1.0613299999999999,0.94449,0.9794100000000001,1.09029,1.0585,1.14184,1.01026,1.41919,0.93218,0.86056,0.9162399999999999,0.98675,0.89741,0.9357300000000002,0.9976800000000001,0.96922,0.99369,0.99823,0.9667399999999999,8.229,8.229,8.229,0.98529,1.05104,1.06058,0.9742500000000001,0.8635299999999999,0.9162300000000001,1.07677,0.93204,0.95427,0.9155800000000001,0.8889400000000001,0.99491,0.8843700000000001,0.9485700000000001,0.9247400000000001,0.8133699999999999,0.84128,0.92842,0.9245099999999999,1.00377,0.9030200000000002,0.90743,0.9090400000000001,1.28146,1.22579,0.83603,0.83603
Pityogenes_hopkinsi,0.6551100000000001,0.91848,0.08644,0.0,0.82154,0.96406,1.15887,1.02742,0.9864,0.9988600000000001,1.05558,0.80321,1.14483,1.21501,1.25858,1.29222,1.1600000000000001,1.30179,1.0770300000000002,0.9660700000000001,1.16681,1.1623100000000002,1.3295400000000002,1.0674299999999999,1.03682,0.9848800000000001,1.20755,1.62765,1.62765,1.56819,1.55354,1.38314,1.3031700000000002,1.258,1.7186399999999997,1.13487,1.0209000000000001,1.04935,1.0818500000000002,1.2264400000000002,1.16819,1.4271599999999998,1.4102700000000001,1.1806100000000002,1.21189,1.87786,1.26539,1.3355299999999999,0.96599,1.2133,1.2133,0.9066500000000001,0.7878100000000001,0.7878100000000001,0.7413500000000001,0.7824300000000001,0.8469500000000001,0.9043,0.99763,0.81891,0.8792300000000001,0.95696,0.8406800000000001,0.95679,0.8372700000000001,0.93958,1.10553,0.96934,0.94457,0.90312,0.9344100000000001,0.99398,1.0048300000000001,1.05853,0.94169,0.9766100000000001,1.08749,1.0556999999999999,1.13904,1.00746,1.4163899999999998,0.92938,0.8577600000000001,0.91344,0.98395,0.89461,0.9329300000000001,0.9948800000000001,0.9664200000000001,0.99089,0.99543,0.96394,8.2262,8.2262,8.2262,0.9824900000000001,1.04824,1.0577800000000002,0.97145,0.86073,0.9134300000000001,1.07397,0.9292400000000001,0.95147,0.91278,0.88614,0.99211,0.8815700000000001,0.9457700000000001,0.9219400000000001,0.81057,0.83848,0.92562,0.92171,1.0009700000000001,0.9002200000000001,0.90463,0.90624,1.27866,1.22299,0.83323,0.83323
Eccoptopterus_spinosus,0.7818499999999999,1.04522,0.8243400000000001,0.82154,0.0,1.0908,1.2856100000000001,1.15416,1.11314,1.1256,1.18232,0.92995,1.27157,1.34175,1.38532,1.41896,1.28674,1.42853,1.20377,1.09281,1.29355,1.28905,1.45628,1.19417,1.16356,1.11162,1.33429,1.75439,1.75439,1.69493,1.68028,1.50988,1.42991,1.3847399999999999,1.8453799999999998,1.2616100000000001,1.14764,1.17609,1.20859,1.35318,1.29493,1.5538999999999998,1.53701,1.30735,1.33863,2.0046,1.3921299999999999,1.46227,1.09273,1.3400400000000001,1.3400400000000001,1.03339,0.91455,0.91455,0.86809,0.90917,0.97369,1.03104,1.1243699999999999,0.94565,1.00597,1.0836999999999999,0.96742,1.08353,0.96401,1.06632,1.23227,1.09608,1.07131,1.02986,1.06115,1.12072,1.13157,1.18527,1.06843,1.10335,1.2142300000000001,1.18244,1.26578,1.1341999999999999,1.54313,1.05612,0.9845,1.0401799999999999,1.11069,1.02135,1.0596700000000001,1.12162,1.0931600000000001,1.1176300000000001,1.1221700000000001,1.0906799999999999,8.35294,8.35294,8.35294,1.1092300000000002,1.1749800000000001,1.18452,1.09819,0.98747,1.04017,1.20071,1.05598,1.07821,1.03952,1.01288,1.1188500000000001,1.00831,1.07251,1.04868,0.93731,0.96522,1.05236,1.0484499999999999,1.12771,1.02696,1.0313700000000001,1.03298,1.4054,1.34973,0.95997,0.95997
Webbia_pabo,0.9243699999999999,1.18774,0.96686,0.96406,1.0908,0.0,1.42813,1.2966799999999998,1.25566,1.2681200000000001,1.32484,1.07247,1.4140899999999998,1.48427,1.5278399999999999,1.56148,1.42926,1.57105,1.34629,1.23533,1.43607,1.43157,1.5988,1.33669,1.3060800000000001,1.25414,1.47681,1.8969099999999999,1.8969099999999999,1.83745,1.8228,1.6524,1.57243,1.52726,1.9878999999999998,1.4041299999999999,1.29016,1.31861,1.35111,1.4957,1.4374500000000001,1.6964199999999998,1.67953,1.44987,1.48115,2.14712,1.53465,1.60479,1.23525,1.4825599999999999,1.4825599999999999,1.17591,1.05707,1.05707,1.01061,1.05169,1.1162100000000001,1.17356,1.26689,1.0881699999999999,1.14849,1.22622,1.10994,1.2260499999999999,1.10653,1.20884,1.37479,1.2386,1.21383,1.17238,1.20367,1.26324,1.27409,1.3277899999999998,1.21095,1.24587,1.35675,1.32496,1.4082999999999999,1.27672,1.6856499999999999,1.19864,1.12702,1.1827,1.25321,1.16387,1.20219,1.26414,1.23568,1.2601499999999999,1.2646899999999999,1.2332,8.49546,8.49546,8.49546,1.25175,1.3175,1.32704,1.24071,1.1299899999999998,1.18269,1.34323,1.1985000000000001,1.22073,1.18204,1.1554,1.2613699999999999,1.15083,1.21503,1.1912,1.0798299999999998,1.10774,1.19488,1.19097,1.27023,1.16948,1.17389,1.1755,1.54792,1.4922499999999999,1.10249,1.10249
Cryphalus_mangiferae,1.11918,1.38255,1.16167,1.15887,1.2856100000000001,1.42813,0.0,1.49149,1.4504700000000001,1.46293,1.51965,1.26728,1.6089,1.67908,1.72265,1.75629,1.6240700000000001,1.76586,1.5411000000000001,1.4301400000000002,1.6308799999999999,1.6263800000000002,1.7936100000000001,1.5314999999999999,1.50089,1.44895,1.6716199999999999,2.09172,2.09172,2.03226,2.01761,1.84721,1.7672400000000001,1.72207,2.1827099999999997,1.59894,1.4849700000000001,1.51342,1.5459200000000002,1.6905100000000002,1.63226,1.8912299999999997,1.8743400000000001,1.6446800000000001,1.67596,2.34193,1.72946,1.7995999999999999,1.43006,1.67737,1.67737,1.37072,1.25188,1.25188,1.2054200000000002,1.2465000000000002,1.31102,1.36837,1.4617,1.28298,1.3433000000000002,1.42103,1.30475,1.42086,1.3013400000000002,1.4036499999999998,1.5695999999999999,1.4334099999999999,1.4086400000000001,1.36719,1.3984800000000002,1.45805,1.4689,1.5226,1.40576,1.44068,1.55156,1.5197699999999998,1.60311,1.47153,1.8804599999999998,1.39345,1.32183,1.37751,1.44802,1.35868,1.3970000000000002,1.4589500000000002,1.43049,1.45496,1.4595,1.42801,8.69027,8.69027,8.69027,1.44656,1.51231,1.5218500000000001,1.43552,1.3248,1.3775,1.53804,1.39331,1.41554,1.3768500000000001,1.3502100000000001,1.45618,1.34564,1.40984,1.3860100000000002,1.27464,1.30255,1.3896899999999999,1.38578,1.4650400000000001,1.36429,1.3687,1.3703100000000001,1.74273,1.68706,1.2973,1.2973
Hylocurus_langstoni,0.98773,1.2510999999999999,1.03022,1.02742,1.15416,1.2966799999999998,1.49149,0.0,1.31902,1.33148,1.3881999999999999,1.13583,1.47745,1.5476299999999998,1.5912,1.6248399999999998,1.49262,1.63441,1.40965,1.2986900000000001,1.4994299999999998,1.49493,1.66216,1.4000499999999998,1.36944,1.3175,1.5401699999999998,1.96027,1.96027,1.9008099999999999,1.8861599999999998,1.71576,1.63579,1.59062,2.0512599999999996,1.46749,1.35352,1.38197,1.4144700000000001,1.5590600000000001,1.50081,1.7597799999999997,1.74289,1.51323,1.5445099999999998,2.21048,1.59801,1.6681499999999998,1.29861,1.54592,1.54592,1.2392699999999999,1.12043,1.12043,1.07397,1.11505,1.17957,1.23692,1.33025,1.15153,1.21185,1.28958,1.1733,1.28941,1.16989,1.2721999999999998,1.4381499999999998,1.3019599999999998,1.27719,1.2357399999999998,1.26703,1.3266,1.33745,1.3911499999999999,1.2743099999999998,1.30923,1.42011,1.3883199999999998,1.47166,1.34008,1.7490099999999997,1.262,1.19038,1.24606,1.31657,1.22723,1.2655500000000002,1.3275000000000001,1.29904,1.32351,1.32805,1.29656,8.55882,8.55882,8.55882,1.31511,1.38086,1.3904,1.3040699999999998,1.19335,1.2460499999999999,1.40659,1.26186,1.28409,1.2454,1.21876,1.32473,1.2141899999999999,1.27839,1.2545600000000001,1.14319,1.1711,1.2582399999999998,1.25433,1.33359,1.23284,1.23725,1.23886,1.6112799999999998,1.55561,1.1658499999999998,1.1658499999999998
Hylesinus_varius,0.9467099999999999,1.21008,0.9892000000000001,0.9864,1.11314,1.25566,1.4504700000000001,1.31902,0.0,0.29742,0.521,1.09481,1.43643,1.50661,1.5501800000000001,1.58382,1.4516,1.59339,1.36863,1.25767,1.45841,1.45391,1.62114,1.35903,1.32842,1.27648,1.49915,1.91925,1.91925,1.85979,1.84514,1.6747400000000001,1.59477,1.5495999999999999,2.0102399999999996,1.4264700000000001,1.3125,1.34095,1.37345,1.51804,1.45979,1.7187599999999998,1.70187,1.47221,1.50349,2.16946,1.5569899999999999,1.62713,1.25759,1.5049000000000001,1.5049000000000001,1.19825,1.07941,1.07941,1.03295,1.07403,1.13855,1.1959,1.2892299999999999,1.11051,1.17083,1.24856,1.13228,1.24839,1.12887,1.23118,1.39713,1.26094,1.23617,1.19472,1.22601,1.28558,1.29643,1.35013,1.23329,1.26821,1.3790900000000001,1.3473,1.43064,1.2990599999999999,1.70799,1.22098,1.1493600000000002,1.20504,1.27555,1.18621,1.2245300000000001,1.28648,1.2580200000000001,1.2824900000000001,1.2870300000000001,1.2555399999999999,8.5178,8.5178,8.5178,1.2740900000000002,1.3398400000000001,1.34938,1.26305,1.15233,1.20503,1.36557,1.22084,1.24307,1.20438,1.17774,1.2837100000000001,1.17317,1.23737,1.21354,1.10217,1.13008,1.21722,1.2133099999999999,1.29257,1.19182,1.1962300000000001,1.19784,1.57026,1.51459,1.12483,1.12483
Hylesinus_crenatus,0.9591699999999999,1.22254,1.00166,0.9988600000000001,1.1256,1.2681200000000001,1.46293,1.33148,0.29742,0.0,0.53346,1.10727,1.44889,1.5190700000000001,1.56264,1.5962800000000001,1.46406,1.6058500000000002,1.38109,1.27013,1.4708700000000001,1.46637,1.6336,1.37149,1.34088,1.2889400000000002,1.5116100000000001,1.9317099999999998,1.9317099999999998,1.8722500000000002,1.8576000000000001,1.6872000000000003,1.60723,1.56206,2.0227,1.43893,1.32496,1.3534100000000002,1.38591,1.5305,1.47225,1.73122,1.71433,1.48467,1.5159500000000001,2.18192,1.56945,1.63959,1.27005,1.51736,1.51736,1.2107100000000002,1.0918700000000001,1.0918700000000001,1.04541,1.08649,1.15101,1.2083599999999999,1.30169,1.12297,1.18329,1.26102,1.14474,1.26085,1.14133,1.24364,1.4095900000000001,1.2734,1.24863,1.2071800000000001,1.23847,1.2980399999999999,1.3088899999999999,1.36259,1.2457500000000001,1.2806700000000002,1.39155,1.35976,1.4430999999999998,1.31152,1.72045,1.2334399999999999,1.16182,1.2175,1.2880099999999999,1.19867,1.23699,1.29894,1.27048,1.29495,1.29949,1.268,8.53026,8.53026,8.53026,1.28655,1.3523,1.36184,1.2755100000000001,1.16479,1.2174900000000002,1.3780299999999999,1.2333,1.25553,1.21684,1.1902,1.29617,1.1856300000000002,1.2498300000000002,1.226,1.11463,1.14254,1.22968,1.22577,1.30503,1.2042800000000002,1.20869,1.2103,1.58272,1.52705,1.13729,1.13729
