,Anisandrus_dispar,Anisandrus_maiche,Xylosandrus_compactus,Xylosandrus_germanus,Xylosandrus_morigerus,Cnestus_bimaculatus,Cnestus_mutilatus,Diuncus_haberkorni,Hadrodemius_globus,Coccotrypes_dactyliperda,Coccotrypes_carpophagus,Leptoxyleborus_sordicauda,Xyleborus_xylographus,Truncaudum_agnatum,Truncaudum_impexum,Euwallacea_destruens,Euwallacea_wallacei,Wallacellus_piceus,Cyclorhipidion_bodoanum,Cyclorhipidion_pelliculosum,Debus_emarginatus,Debus_pumilus,Pseudowebbia_trepanicauda,Xyleborus_affinis,Xyleborus_perforans,Xyleborus_ferrugineus,Xyleborus_impressus,Xyleborus_bispinatus,Xyleborus_celsus,Xyleborus_monographus,Xyleborus_volvulus,Xyleborus_glabratus,Ambrosiodmus_asperatus,Ambrosiophilus_atratus,Ambrosiodmus_obliquus,Ambrosiodmus_tachygraphus,Ambrosiodmus_lewisi,Ambrosiodmus_minor,Ambrosiodmus_rubricollis,Coptoborus_coartatus,Coptoborus_pseudotenuis,Euwallacea_fornicatus,Euwallacea_similis,Xyleborus_spinulosus,Euwallacea_interjectus,Euwallacea_validus,Euwallacea_perbrevis,Euwallacea_funereus,Euwallacea_kuroshio,Crypturgus_hispidulus,Gnathotrichus_materiarius,Pseudopityophthorus_pruinosus,Pityophthorus_pityographus,Monarthrum_mali,Monarthrum_fasciatum,Procryphalus_mucronatus,Dendroterus_defectus,Scolytus_aztecus,Scolytus_rugulosus,Scolytus_intricatus,Scolytus_multistriatus,Scolytus_ratzeburgi,Scolytus_schevyrewi,Pagiocerus_frontalis,Scolytus_dimidiatus,Scolytus_carpini,Hypothenemus_birmanus,Hypothenemus_obscurus,Hypothenemus_seriatus,Hypothenemus_eruditus,Hypothenemus_hampei,Hylocurus_langstoni,Pityophthorus_juglandis,Ernoporus_tiliae,Eidophelus_fagi,Polygraphus_poligraphus,Hylastes_porculus,Hylastes_cunicularius,Hylastes_ater,Hylastes_gracilis,Hylurgops_palliatus,Hylurgus_ligniperda,Tomicus_piniperda,Tomicus_brevipilosus,Tomicus_destruens,Hylurgus_micklitzi,Dendroctonus_adjunctus,Dendroctonus_frontalis,Dendroctonus_ponderosae,Dendroctonus_pseudotsugae,Dendroctonus_rufipennis,Dendroctonus_terebrans,Dendroctonus_valens,Hylesinus_varius,Hylesinus_toranio,Hylesinus_crenatus,Hylesinus_aculeatus,Myoplatypus_flavicornis,Euplatypus_compositus,Platypus_koryoensis,Trypodendron_domesticum,Trypodendron_lineatum,Trypodendron_signatum,Xyloterinus_politus,Pycnarthrum_hispidum,Carphoborus_bifurcus,Cryphalus_mangiferae,Ips_acuminatus,Ips_duplicatus,Ips_pini,Ips_typographus,Ips_avulsus,Ips_calligraphus,Ips_grandicollis,Ips_sexdentatus,Orthotomicus_caelatus,Orthotomicus_erosus,Premnobius_cavipennis,Pityogenes_chalcographus,Pityogenes_hopkinsi,Xylocleptes_bispinus,Dactylotrypes_longicollis,Taphrorychus_bicolor,Dryocoetes_autographus,Dryocoetes_confusus,Eccoptopterus_spinosus,Webbia_pabo,Diuncus_justus,Xyleborinus_schaufussi,Xyleborinus_andrewesi,Xyleborinus_attenuatus,Xyleborinus_saxesenii,Xyleborinus_gracilis,Xyleborinus_artestriatus,Xyleborinus_exiguus,Microperus_alpha,Microperus_popondettae,Xylosandrus_amputatus,Xylosandrus_crassiusculus,Diuncus_papatrae,Anisandrus_obesus,Anisandrus_sayi
Anisandrus_dispar,0.0,0.19685188490000002,0.17654353009999998,0.2243495844,0.2095860411,0.30191433060000006,0.2638720497,0.25493476660000003,0.23254176560000003,0.21239285750000003,0.22584448110000002,0.23426510470000003,0.22744216620000002,0.23624202910000003,0.23952582090000005,0.2096518394,0.21241925360000002,0.22926739540000002,0.2506916201,0.24122736190000002,0.24665646260000001,0.2439788333,0.25019626120000005,0.2502727843,0.2550860597,0.2490262723,0.2580438216,0.24191371479999998,0.2549889405,0.26144454920000004,0.3257588803,0.24429117079999998,0.2691451441,0.27487975629999994,0.25279165709999996,0.25817364379999996,0.24874961869999998,0.249500602,0.2488733242,0.24421993420000002,0.2490195896,0.26365076460000003,0.3277790102,0.3345595525,0.25405065810000005,0.2331113854,0.2450935826,0.2313328473,0.2318063686,0.3436295691,0.42753904740000004,0.5161433187000001,0.387353603,0.40462954400000006,0.40325033720000003,0.4319072222,0.44005056870000003,0.4834242877,0.48001908820000005,0.5030466137999999,0.5087630399999999,0.5111405997999999,0.8130581218,0.8574395687,0.47316504700000006,0.439715686,0.4438262461,0.4437192999999999,0.44513121710000003,0.41163533259999996,0.39033735599999997,0.43086436640000003,0.38571552489999994,0.4216126214,0.4199930623,0.3953597847,0.42887624209999997,0.46758155310000005,0.4048203172,0.4202187154,0.3995779693,0.9630450760000001,0.39830022350000005,0.41280751970000007,0.4202424524,0.3717538669,0.6072138264,0.4034450004,0.37707908189999995,0.40330284679999995,0.40343929589999994,0.39441504569999997,0.3960572913,0.37388306849999997,0.3757358474,0.3423870873,0.34262398429999996,0.45845050479999994,0.4408444388,0.44171636859999996,0.39605420319999995,0.44102417569999997,0.39547763189999996,0.42212826319999996,0.38337670319999995,0.369771274,0.383687388,0.33169080780000004,0.35687112100000007,0.3419311679,0.3646839017000001,0.3723397318,0.3756357131,0.38354240530000006,0.3412531334000001,0.3438428295,0.33370464710000003,0.40278928320000007,0.34612444230000006,0.35345813420000005,0.30847444590000006,0.3776931659,0.2771935406,0.2446415097,0.2152887512,0.2494344581,0.24651442380000002,0.25336193660000006,0.22019962530000003,0.22905030210000002,0.2294935659,0.2312203734,0.22390084140000002,0.19849868390000003,0.22594185360000002,0.205043512,0.2176288324,0.1740450534,0.180793281,0.12014466230000001,0.08899073630000001,0.0708919967
Anisandrus_maiche,0.19685188490000002,0.0,0.128989728,0.1767957823,0.162032239,0.28018273429999996,0.24214045339999998,0.2332031703,0.21081016930000002,0.1906612612,0.2041128848,0.21253350840000002,0.2057105699,0.2145104328,0.2177942246,0.1879202431,0.1906876573,0.2075357991,0.2289600238,0.2194957656,0.2249248663,0.222247237,0.2284646649,0.228541188,0.23335446340000002,0.227294676,0.2363122253,0.2201821185,0.2332573442,0.2397129529,0.304027284,0.2225595745,0.2474135478,0.25314816,0.2310600608,0.2364420475,0.2270180224,0.2277690057,0.2271417279,0.2224883379,0.22728799330000002,0.24191916830000001,0.3060474139,0.31282795620000003,0.2323190618,0.2113797891,0.2233619863,0.20960125100000002,0.21007477230000002,0.3218979728,0.40580745110000005,0.4944117224,0.3656220067,0.38289794769999996,0.38151874090000004,0.4101756259,0.41831897240000004,0.4616926914,0.45828749190000007,0.48131501749999994,0.48703144369999996,0.48940900349999994,0.7913265255,0.8357079724,0.45143345070000007,0.4179840897,0.4220946498,0.42198770370000005,0.42339962080000004,0.3899037363000001,0.3686057597,0.40913277010000004,0.36398392860000006,0.3998810251,0.398261466,0.3736281884,0.4071446458,0.44584995680000006,0.3830887209,0.3984871191,0.377846373,0.9413134797,0.37656862720000006,0.3910759234000001,0.39851085610000003,0.3500222706,0.5854822301,0.3817134041,0.35534748560000007,0.38157125050000007,0.38170769960000006,0.3726834494,0.374325695,0.3521514722,0.3540042511,0.320655491,0.320892388,0.43671890849999995,0.4191128425,0.4199847723,0.37432260689999997,0.4192925794,0.37374603559999997,0.4003966669,0.36164510689999996,0.3480396777,0.36195579170000003,0.30995921150000005,0.33513952469999997,0.3201995716,0.3429523054,0.35060813550000003,0.3539041168,0.36181080899999996,0.3195215371,0.3221112332,0.31197305080000004,0.38105768689999997,0.32439284599999996,0.33172653789999995,0.28674284959999996,0.3559615696,0.2554619443,0.22290991340000002,0.1935571549,0.2277028618,0.2247828275,0.23163034030000001,0.19846802900000002,0.2073187058,0.20776196959999998,0.2094887771,0.2021692451,0.1767670876,0.2042102573,0.1833119157,0.1958972361,0.1846147473,0.1913629749,0.1857248472,0.1893118694,0.1891228788
Xylosandrus_compactus,0.17654353009999998,0.128989728,0.0,0.1204420395,0.1056784962,0.2598743795,0.22183209859999997,0.2128948155,0.19050181449999998,0.1703529064,0.18380453,0.1922251536,0.1854022151,0.194202078,0.1974858698,0.16761188829999998,0.1703793025,0.1872274443,0.20865166899999998,0.1991874108,0.2046165115,0.20193888219999998,0.2081563101,0.2082328332,0.2130461086,0.2069863212,0.2160038705,0.19987376369999998,0.21294898939999998,0.2194045981,0.28371892919999997,0.20225121969999998,0.22710519299999998,0.2328398052,0.21075170599999998,0.2161336927,0.20670966759999998,0.2074606509,0.2068333731,0.2021799831,0.2069796385,0.2216108135,0.2857390591,0.2925196014,0.212010707,0.1910714343,0.2030536315,0.1892928962,0.1897664175,0.301589618,0.3854990963,0.4741033676,0.3453136519,0.3625895929,0.3612103861,0.3898672711,0.3980106176,0.44138433660000004,0.4379791371,0.46100666269999996,0.46672308889999997,0.46910064869999996,0.7710181707,0.8153996176,0.43112509590000003,0.3976757349,0.401786295,0.4016793489,0.403091266,0.36959538150000004,0.3482974049,0.3888244153,0.3436755738,0.37957267029999997,0.37795311119999997,0.35331983359999997,0.386836291,0.425541602,0.36278036610000003,0.3781787643,0.3575380182,0.9210051249,0.3562602724,0.37076756860000004,0.3782025013,0.3297139158,0.5651738753,0.3614050493,0.33503913080000003,0.36126289570000003,0.3613993448,0.3523750946,0.3540173402,0.3318431174,0.3336958963,0.3003471362,0.3005840332,0.41641055369999996,0.3988044877,0.3996764175,0.3540142521,0.3989842246,0.3534376808,0.3800883121,0.3413367521,0.32773132289999996,0.3416474369,0.2896508567,0.3148311699,0.29989121679999997,0.32264395059999995,0.3302997807,0.33359576199999996,0.34150245419999997,0.2992131823,0.3018028784,0.291664696,0.3607493321,0.3040844912,0.31141818309999997,0.2664344948,0.3356532148,0.23515358949999998,0.2026015586,0.1732488001,0.20739450699999998,0.2044744727,0.2113219855,0.1781596742,0.187010351,0.18745361479999997,0.18918042229999998,0.1818608903,0.1564587328,0.1839019025,0.16300356089999998,0.1755888813,0.1643063925,0.1710546201,0.1654164924,0.1690035146,0.16881452399999997
Xylosandrus_germanus,0.2243495844,0.1767957823,0.1204420395,0.0,0.1371360079,0.3076804338,0.2696381529,0.2607008698,0.2383078688,0.21815896070000002,0.2316105843,0.24003120790000002,0.2332082694,0.2420081323,0.2452919241,0.2154179426,0.2181853568,0.2350334986,0.2564577233,0.2469934651,0.2524225658,0.2497449365,0.2559623644,0.25603888750000003,0.2608521629,0.2547923755,0.2638099248,0.247679818,0.2607550437,0.26721065239999997,0.33152498350000004,0.250057274,0.2749112473,0.2806458595,0.2585577603,0.263939747,0.2545157219,0.2552667052,0.2546394274,0.2499860374,0.2547856928,0.2694168678,0.33354511340000004,0.3403256557,0.2598167613,0.23887748860000002,0.2508596858,0.23709895050000002,0.23757247180000002,0.3493956723,0.4333051506,0.5219094219,0.39311970620000003,0.4103956472,0.4090164404,0.43767332540000004,0.4458166719,0.48919039090000005,0.48578519140000004,0.508812717,0.5145291432,0.516906703,0.818824225,0.8632056719000001,0.47893115020000004,0.44548178920000003,0.4495923493,0.4494854032,0.4508973203,0.41740143580000005,0.3961034592,0.4366304696,0.39148162810000003,0.4273787246,0.4257591655,0.4011258879,0.4346423453,0.47334765630000003,0.41058642040000004,0.42598481860000004,0.4053440725,0.9688111792,0.40406632670000003,0.41857362290000005,0.4260085556,0.3775199701,0.6129799296,0.4092111036,0.38284518510000004,0.40906895000000004,0.40920539910000003,0.4001811489,0.4018233945,0.3796491717,0.38150195060000003,0.34815319050000004,0.3483900875,0.464216608,0.446610542,0.4474824718,0.4018203064,0.4467902789,0.4012437351,0.4278943664,0.3891428064,0.37553737719999997,0.3894534912,0.337456911,0.3626372242,0.3476972711,0.37045000489999996,0.378105835,0.3814018163,0.3893085085,0.3470192366,0.3496089327,0.3394707503,0.4085553864,0.3518905455,0.3592242374,0.3142405491,0.3834592691,0.2829596438,0.2504076129,0.2210548544,0.2552005613,0.25228052700000003,0.2591280398,0.22596572850000002,0.2348164053,0.23525966909999999,0.2369864766,0.2296669446,0.2042647871,0.2317079568,0.2108096152,0.2233949356,0.21211244680000002,0.2188606744,0.21322254670000002,0.2168095689,0.21662057829999998
Xylosandrus_morigerus,0.2095860411,0.162032239,0.1056784962,0.1371360079,0.0,0.29291689049999997,0.25487460959999997,0.2459373265,0.22354432549999997,0.2033954174,0.216847041,0.2252676646,0.2184447261,0.227244589,0.2305283808,0.20065439929999998,0.2034218135,0.2202699553,0.24169417999999998,0.2322299218,0.23765902249999998,0.23498139319999997,0.2411988211,0.2412753442,0.2460886196,0.2400288322,0.2490463815,0.23291627469999998,0.24599150039999998,0.2524471091,0.31676144019999997,0.23529373069999998,0.260147704,0.2658823162,0.24379421699999998,0.2491762037,0.23975217859999998,0.24050316189999998,0.2398758841,0.23522249409999998,0.2400221495,0.2546533245,0.3187815701,0.3255621124,0.245053218,0.2241139453,0.2360961425,0.2223354072,0.2228089285,0.334632129,0.4185416073,0.5071458786,0.3783561629,0.3956321039,0.3942528971,0.4229097821,0.4310531286,0.47442684760000003,0.4710216481,0.49404917369999996,0.49976559989999997,0.5021431596999999,0.8040606817,0.8484421286,0.46416760690000003,0.4307182459,0.434828806,0.4347218599,0.436133777,0.40263789250000004,0.3813399159,0.4218669263,0.3767180848,0.41261518129999997,0.41099562219999997,0.38636234459999996,0.419878802,0.458584113,0.3958228771,0.4112212753,0.39058052919999997,0.9540476359,0.3893027834,0.40381007960000004,0.4112450123,0.3627564268,0.5982163863,0.3944475603,0.3680816418,0.3943054067,0.3944418558,0.3854176056,0.38705985119999997,0.3648856284,0.3667384073,0.33338964719999997,0.3336265442,0.44945306469999996,0.4318469987,0.4327189285,0.3870567631,0.4320267356,0.3864801918,0.4131308231,0.37437926309999997,0.36077383389999995,0.3746899479,0.3226933677,0.3478736809,0.33293372779999997,0.35568646159999995,0.3633422917,0.36663827299999996,0.37454496519999997,0.3322556933,0.33484538939999997,0.324707207,0.3937918431,0.33712700219999997,0.34446069409999996,0.2994770058,0.3686957258,0.2681961005,0.2356440696,0.20629131109999999,0.24043701799999997,0.2375169837,0.2443644965,0.2112021852,0.220052862,0.22049612579999997,0.22222293329999998,0.2149034013,0.1895012438,0.2169444135,0.19604607189999998,0.2086313923,0.1973489035,0.2040971311,0.1984590034,0.2020460256,0.20185703500000002
Cnestus_bimaculatus,0.30191433060000006,0.28018273429999996,0.2598743795,0.3076804338,0.29291689049999997,0.0,0.1524121501,0.2114594886,0.2201208308,0.2256693703,0.23912099390000002,0.26477819570000005,0.2579552572,0.2667551201,0.2700389119,0.2570220662,0.2597894804,0.2766376222,0.2980618469,0.28859758869999996,0.2940266894,0.29134906009999995,0.29756648799999996,0.2976430111,0.3024562865,0.2963964991,0.30541404839999997,0.2892839416,0.3023591673,0.30881477599999996,0.3731291071,0.2916613976,0.3165153709,0.32224998309999997,0.3001618839,0.3055438706,0.2961198455,0.2968708288,0.296243551,0.291590161,0.29638981639999995,0.31102099139999995,0.37514923699999997,0.3819297793,0.30142088489999996,0.2804816122,0.29246380939999994,0.27870307409999995,0.27917659539999995,0.4043192479,0.4882287262,0.5768329974999999,0.4480432818,0.4653192228,0.463940016,0.49259690100000003,0.5007402475,0.5441139665000001,0.540708767,0.5637362926,0.5694527188,0.5718302786,0.8737478006,0.9181292475,0.5338547258,0.5004053648,0.5045159249,0.5044089788,0.5058208959,0.47232501140000005,0.4510270348,0.4915540452,0.44640520370000003,0.4823023002,0.4806827411,0.4560494635,0.4895659209,0.5282712319,0.46550999600000004,0.4809083942,0.4602676481,1.0237347548,0.45898990230000003,0.4734971985,0.4809321312,0.4324435457,0.6679035052000001,0.46413467920000007,0.43776876070000004,0.46399252560000004,0.46412897470000003,0.45510472450000006,0.45674697010000004,0.4345727473,0.4364255262,0.4030767661,0.4033136631,0.5191401836,0.5015341176000001,0.5024060474,0.45674388200000005,0.5017138545000001,0.45616731070000005,0.48281794200000006,0.44406638200000004,0.4304609528,0.4443770668,0.3923804866,0.4175607998,0.4026208467,0.42537358049999996,0.4330294106,0.43632539189999997,0.4442320841,0.4019428122,0.40453250830000004,0.3943943259,0.46347896200000005,0.40681412110000004,0.41414781300000003,0.36916412470000004,0.4383828447,0.3378832194,0.3053311885,0.27597843,0.3101241369,0.30720410260000003,0.31405161540000004,0.2808893041,0.2897399809,0.2901832447,0.2919100522,0.28459052020000003,0.2591883627,0.28663153240000006,0.2657331908,0.2783185112,0.289677193,0.2964254206,0.2907872929,0.29437431510000006,0.2941853245
Cnestus_mutilatus,0.2638720497,0.24214045339999998,0.22183209859999997,0.2696381529,0.25487460959999997,0.1524121501,0.0,0.1734172077,0.1820785499,0.1876270894,0.20107871300000002,0.22673591480000002,0.2199129763,0.22871283920000002,0.231996631,0.21897978529999998,0.2217471995,0.23859534129999999,0.260019566,0.2505553078,0.2559844085,0.2533067792,0.2595242071,0.25960073019999996,0.2644140056,0.2583542182,0.2673717675,0.2512416607,0.26431688639999995,0.2707724951,0.33508682619999997,0.2536191167,0.27847309,0.2842077022,0.262119603,0.2675015897,0.2580775646,0.2588285479,0.2582012701,0.25354788009999996,0.2583475355,0.2729787105,0.33710695609999997,0.3438874984,0.263378604,0.24243933129999998,0.2544215285,0.24066079319999997,0.24113431449999997,0.366276967,0.4501864453,0.5387907166,0.4100010009,0.4272769419,0.4258977351,0.45455462010000003,0.4626979666,0.5060716856,0.5026664861000001,0.5256940117,0.5314104379,0.5337879977,0.8357055197000001,0.8800869666,0.49581244490000004,0.4623630839,0.466473644,0.4663666979,0.467778615,0.43428273050000005,0.4129847539,0.4535117643,0.4083629228,0.4442600193,0.4426404602,0.41800718259999997,0.45152364,0.490228951,0.42746771510000003,0.4428661133,0.4222253672,0.9856924738999999,0.4209476214,0.4354549176,0.4428898503,0.3944012648,0.6298612243000001,0.42609239830000006,0.39972647980000003,0.42595024470000004,0.4260866938,0.41706244360000005,0.41870468920000004,0.3965304664,0.3983832453,0.36503448520000004,0.3652713822,0.4810979027,0.46349183670000005,0.46436376650000005,0.41870160110000004,0.46367157360000005,0.41812502980000005,0.44477566110000005,0.40602410110000003,0.3924186719,0.4063347859,0.3543382057,0.3795185189,0.3645785658,0.3873312996,0.3949871297,0.39828311099999997,0.4061898032,0.3639005313,0.36649022740000003,0.356352045,0.42543668110000005,0.36877184020000003,0.37610553210000003,0.33112184380000004,0.4003405638,0.29984093850000004,0.2672889076,0.23793614910000002,0.272081856,0.2691618217,0.27600933450000004,0.2428470232,0.2516977,0.2521409638,0.25386777130000004,0.24654823930000003,0.2211460818,0.24858925150000002,0.22769090990000002,0.2402762303,0.2516349121,0.25838313970000004,0.252745012,0.25633203420000006,0.2561430436
Diuncus_haberkorni,0.25493476660000003,0.2332031703,0.2128948155,0.2607008698,0.2459373265,0.2114594886,0.1734172077,0.0,0.1731412668,0.1786898063,0.1921414299,0.2177986317,0.21097569319999998,0.2197755561,0.22305934789999998,0.2100425022,0.21280991640000002,0.22965805820000001,0.2510822829,0.24161802470000002,0.2470471254,0.2443694961,0.25058692400000004,0.2506634471,0.25547672250000003,0.24941693510000001,0.25843448440000005,0.2423043776,0.2553796033,0.26183521200000004,0.3261495431,0.2446818336,0.2695358069,0.27527041910000005,0.2531823199,0.2585643066,0.2491402815,0.2498912648,0.24926398700000002,0.244610597,0.2494102524,0.26404142740000003,0.328169673,0.3349502153,0.25444132090000005,0.2335020482,0.2454842454,0.2317235101,0.2321970314,0.3573396839,0.4412491622,0.5298534335,0.4010637178,0.41833965879999996,0.416960452,0.445617337,0.4537606835,0.4971344025,0.493729203,0.5167567285999999,0.5224731547999999,0.5248507145999999,0.8267682366,0.8711496835,0.4868751618,0.4534258008,0.4575363609,0.4574294148,0.4588413319,0.4253454474,0.4040474708,0.4445744812,0.3994256397,0.43532273619999995,0.43370317709999995,0.40906989949999994,0.4425863569,0.4812916679,0.418530432,0.43392883019999995,0.41328808409999995,0.9767551908,0.4120103383,0.42651763449999996,0.4339525672,0.38546398169999996,0.6209239412,0.41715511520000004,0.3907891967,0.4170129616,0.4171494107,0.40812516050000003,0.4097674061,0.3875931833,0.3894459622,0.35609720209999995,0.35633409909999997,0.4721606196,0.4545545536,0.4554264834,0.409764318,0.4547342905,0.4091877467,0.435838378,0.397086818,0.3834813888,0.39739750279999997,0.3454009226,0.37058123579999996,0.35564128269999995,0.37839401649999993,0.38604984659999997,0.38934582789999994,0.39725252009999995,0.35496324819999997,0.3575529443,0.3474147619,0.416499398,0.3598345571,0.367168249,0.3221845607,0.39140328069999997,0.29090365539999996,0.2583516245,0.228998866,0.2631445729,0.2602245386,0.2670720514,0.23390974009999999,0.2427604169,0.24320368069999998,0.2449304882,0.2376109562,0.21220879869999998,0.2396519684,0.2187536268,0.23133894719999998,0.24269762899999997,0.2494458566,0.24380772889999996,0.2473947511,0.24720576050000004
Hadrodemius_globus,0.23254176560000003,0.21081016930000002,0.19050181449999998,0.2383078688,0.22354432549999997,0.2201208308,0.1820785499,0.1731412668,0.0,0.1562968053,0.16974842890000003,0.1954056307,0.1885826922,0.1973825551,0.20066634690000001,0.1876495012,0.1904169154,0.2072650572,0.22868928189999999,0.21922502370000002,0.2246541244,0.2219764951,0.22819392300000002,0.22827044610000002,0.2330837215,0.2270239341,0.23604148340000003,0.21991137659999999,0.2329866023,0.23944221100000002,0.3037565421,0.22228883259999999,0.24714280589999998,0.25287741810000003,0.23078931889999998,0.2361713056,0.22674728049999998,0.2274982638,0.226870986,0.22221759600000002,0.2270172514,0.2416484264,0.30577667199999997,0.3125572143,0.23204831990000002,0.2111090472,0.2230912444,0.2093305091,0.2098040304,0.3349466829,0.4188561612,0.5074604325,0.37867071680000003,0.3959466578,0.394567451,0.42322433600000003,0.4313676825,0.47474140150000005,0.47133620200000004,0.49436372759999997,0.5000801537999999,0.5024577135999999,0.8043752356,0.8487566825,0.46448216080000004,0.43103279980000003,0.4351433599,0.4350364138,0.4364483309,0.40295244640000005,0.3816544698,0.4221814802,0.37703263870000003,0.4129297352,0.4113101761,0.3866768985,0.4201933559,0.45889866690000003,0.39613743100000004,0.4115358292,0.3908950831,0.9543621898,0.38961733730000003,0.4041246335,0.4115595662,0.3630709807,0.5985309402000001,0.39476211420000007,0.36839619570000004,0.39461996060000004,0.39475640970000003,0.38573215950000006,0.38737440510000004,0.3652001823,0.3670529612,0.3337042011,0.3339410981,0.44976761860000003,0.43216155260000005,0.43303348240000006,0.38737131700000005,0.43234128950000006,0.38679474570000005,0.41344537700000006,0.37469381700000004,0.3610883878,0.3750045018,0.3230079216,0.3481882348,0.3332482817,0.35600101549999996,0.3636568456,0.3669528269,0.3748595191,0.3325702472,0.33515994330000004,0.3250217609,0.39410639700000005,0.33744155610000004,0.34477524800000003,0.29979155970000004,0.3690102797,0.2685106544,0.23595862350000002,0.206605865,0.24075157190000002,0.23783153760000003,0.24467905040000004,0.21151673910000002,0.22036741590000003,0.2208106797,0.2225374872,0.21521795520000003,0.1898157977,0.2172589674,0.19636062580000002,0.2089459462,0.220304628,0.22705285560000002,0.2214147279,0.2250017501,0.22481275950000001
Coccotrypes_dactyliperda,0.21239285750000003,0.1906612612,0.1703529064,0.21815896070000002,0.2033954174,0.2256693703,0.1876270894,0.1786898063,0.1562968053,0.0,0.042915809799999996,0.1752567226,0.16843378409999998,0.177233647,0.18051743879999999,0.16750059309999998,0.17026800730000002,0.18711614910000002,0.2085403738,0.1990761156,0.20450521630000001,0.20182758699999997,0.2080450149,0.208121538,0.21293481340000003,0.20687502600000002,0.2158925753,0.1997624685,0.21283769419999998,0.2192933029,0.283607634,0.2021399245,0.2269938978,0.23272851,0.2106404108,0.21602239750000002,0.2065983724,0.20734935570000002,0.2067220779,0.2020686879,0.20686834329999998,0.22149951829999998,0.2856277639,0.2924083062,0.2118994118,0.19096013909999998,0.20294233629999997,0.18918160099999998,0.18965512229999998,0.3147977748,0.3987072531,0.4873115244,0.3585218087,0.37579774969999996,0.3744185429,0.4030754279,0.4112187744,0.4545924934,0.4511872939,0.47421481949999994,0.47993124569999995,0.48230880549999994,0.7842263275,0.8286077744,0.4443332527,0.4108838917,0.4149944518,0.4148875057,0.4162994228,0.3828035383,0.3615055617,0.4020325721,0.3568837306,0.39278082709999995,0.39116126799999995,0.36652799039999995,0.4000444478,0.4387497588,0.3759885229,0.39138692109999995,0.37074617499999996,0.9342132817,0.3694684292,0.38397572539999997,0.3914106581,0.34292207259999996,0.5783820321,0.37461320610000004,0.3482472876,0.3744710525,0.3746075016,0.36558325140000003,0.367225497,0.3450512742,0.3469040531,0.313555293,0.31379218999999997,0.4296187105,0.4120126445,0.41288457430000003,0.3672224089,0.41219238140000003,0.3666458376,0.39329646890000003,0.3545449089,0.3409394797,0.35485559369999997,0.3028590135,0.32803932669999997,0.31309937359999995,0.3358521074,0.34350793749999997,0.34680391879999994,0.35471061099999995,0.3124213391,0.3150110352,0.3048728528,0.3739574889,0.317292648,0.3246263399,0.2796426516,0.34886137159999997,0.24836174630000002,0.2158097154,0.18645695690000003,0.2206026638,0.2176826295,0.2245301423,0.191367831,0.2002185078,0.20066177159999998,0.20238857910000002,0.1950690471,0.1696668896,0.19711005930000003,0.1762117177,0.1887970381,0.2001557199,0.20690394750000002,0.20126581980000002,0.204852842,0.20466385140000004
